"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"62490";"https://dadosabertos.camara.leg.br/api/v2/eventos/62490";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2049034";"2021-12-31T15:00:00";"";"Cancelada";"Lesbocídio: as histórias que ninguém conta";"Painel";"";"A Definir";"";"";""
"64478";"https://dadosabertos.camara.leg.br/api/v2/eventos/64478";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2119475";"2021-12-21T15:00:00";"";"Cancelada";"Audiência Pública em atenção aos Requerimentos nº 16, 26 e 28/2021, de autoria dos deputados Felipe Carreras, Julio Cesar Ribeiro e Luiz Lima, com o Ministro da Economia para tratar das políticas de patrocínios dos bancos oficiais no fomento ao esporte e de subsídios para materiais esportivos.

Convidados:
Sr. Paulo Guedes, Ministro de Estado da Economia;
Sr. Pedro Duarte Guimarães, Presidente da Caixa Econômica Federal;
Sr. Fausto de Andrade Ribeiro, Presidente do Banco do Brasil;
Sr. Marcelo de Magalhães, Secretário Especial do Esporte do Ministério da Cidadania;
Sr. Lars Grael, Atletas pelo Brasil;
Sr. Floriano Peixoto Vieira Neto, Presidente dos Correios.";"Audiência Pública";"";"Anexo II, Plenário 06";"";"";""
"64625";"https://dadosabertos.camara.leg.br/api/v2/eventos/64625";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2128527";"2021-12-21T17:28:00";"2021-12-21T20:07:00";"Encerrada";"Destinada à deliberação do Projeto de Lei do Congresso Nacional nº 19";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"64624";"https://dadosabertos.camara.leg.br/api/v2/eventos/64624";"";"2021-12-20T14:00:00";"";"Cancelada";"Destinada à deliberação do Projeto de Lei do Congresso Nacional nº 19";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"64622";"https://dadosabertos.camara.leg.br/api/v2/eventos/64622";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2126975";"2021-12-17T17:00:00";"";"Cancelada";"Destinada à deliberação dos Vetos nºs 14, 33, 41, 48, 54, 55, 60 e 62";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"64118";"https://dadosabertos.camara.leg.br/api/v2/eventos/64118";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2113032";"2021-12-17T14:36:19";"2021-12-17T16:56:56";"Encerrada (Final)";"Req. 91/2021 de autoria da Dep. Érika Kokay.

Convidados:

Daniela Zambam Rodolfo, Representante da Secretaria de Cultura do Distrito Federal e Diretora de Preservação da Subsecretaria do Patrimônio; 


Webert da Cruz - Representante do projeto Retomar para Reinventar | Mercado Sul Vive | Vivência Ballroom;


Liza Maria Souza de Andrade (BR Cidades | UNB | Projeto Casas);


Cid Aroeira (Mercado Sul Vive); Mestre de samba de roda, capoeira e morador do Mercado Sul


Ronan Ferreira Figueiredo, Defensor Público do Distrito Federal;


Rita Andrade - Conselho de Cultura do Distrito Federal; 


Paique Duques Santarém - Mercado Sul Vive | Antropólogo com trabalho em Patrimônio;


Ingrid Martins, Assessor  Candanga - Assessoria Jurídica E Popular;


Giuliana Leticia - Produtora.";"Audiência Pública";"";"Anexo II, Plenário 08";"";"";""
"64621";"https://dadosabertos.camara.leg.br/api/v2/eventos/64621";"";"2021-12-17T17:00:00";"2021-12-17T19:30:00";"Encerrada";"Destinada à deliberação dos Vetos nºs 4, 14, 19, 23, 25, 27, 28, 33,";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"64573";"https://dadosabertos.camara.leg.br/api/v2/eventos/64573";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2123564";"2021-12-17T10:00:00";"2021-12-17T12:10:00";"Encerrada (Final)";"´Seminário para tratar das graves denúncias acerca da chacina do Complexo do Salgueiro, no município de São Gonçalo (RJ)´

Convidadas e convidados

1.Associação Brasileira de Imprensa 
2.Associação de Juízes pela Democracia (AJD) 
3.Associação de Moradores de Neves (São Gonçalo, Rio de Janeiro) 
4.Associação de Moradores do Salgueiro (São Gonçalo, Rio de Janeiro) 
5.Associação de Moradores do Laranjal (São Gonçalo, Rio de Janeiro) 
6.Coletivo Juntos 7. – Coletivo RUA 
7.Comissão de Direitos Humanos da ALERJ 
8.Comissão de Direitos Humanos da OAB/RJ 
9.Conselho Tutelar de São Gonçalo
10.Daniel Hirata do GENI - Grupo de Estudos dos Novos Ilegalismos da UFF 
11.Defensoria Pública do Estado do Rio de Janeiro 
12.Federação das Associações de Favelas do Rio de Janeiro (FAFERJ) 
13.Laboratório de Psicanálise e Laço Social UFF
14.Mandato da Deputada Estadual pelo Rio de Janeiro Dani Monteiro 
15.Mandato da Deputada Estadual pelo Rio de Janeiro Enf. Rejane 
16.Mandato do Deputado Estadual pelo Rio de Janeiro Waldeck Carneiro 
17.Mandato do Vereador pelo Município de São Gonçalo Prof. Josemar 
18.Mandato do Vereador pelo Município de São Gonçalo Romário Regis 2
19.Mulheres do Salgueiro  
20.Nações Unidas 
21.OAB/RJ - Seccional São Gonçalo 
22.Rede Emancipa 
23.Ressuscita São Gonçalo
24.São Gonçalo Laico (São Gonçalo, Rio de Janeiro) 
25.União da Juventude Socialista (UJS) 
26.Unibairros São Gonçalo (São Gonçalo, Rio de Janeiro) 
27.Cel PM Luiz Henrique Marinho Pires, Secretário de Estado de Polícia Militar


Participações não confirmadas.

Requerimento 152/2021, de autoria de Vivi Reis - PSOL/PA, Talíria Petrone - PSOL/RJ, Benedita da Silva - PT/RJ, Jandira Feghali - PCdoB/RJ e Orlando Silva - PCdoB/SP";"Seminário";"Sede da OAB do município de São Gonçalo";"";"";"";""
"64585";"https://dadosabertos.camara.leg.br/api/v2/eventos/64585";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2124420";"2021-12-17T09:00:00";"";"Cancelada";"Discussão e Votação do Parecer do Relator, Deputado Felipe Carreras.";"Reunião Deliberativa";"";"Anexo II, Plenário 07";"";"";""
"64436";"https://dadosabertos.camara.leg.br/api/v2/eventos/64436";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2117302";"2021-12-16T14:35:17";"2021-12-16T17:50:19";"Encerrada (Final)";"(Requerimentos nº 125, de 2021, dos deputados Aliel Machado e Gervásio Maia; e nº 130, de 2021, do deputado Paulo Ganime, subscrito pelos deputados Angela Amin, Vinicius Poit e Vitor Lippi)

PALESTRANTES:

MARINA HADDAD TOVOLLI
Chefe adjunta do Departamento de Estudos Econômicos do Conselho Administrativo de Defesa Econômica (Cade)
(Confirmada)

FABRÍCIO BERTINI PASQUOT POLIDO
Especialista em direitos autorais e professor da Universidade Federal de Minas Gerais (UFMG)
(Confirmado)

MARCELO RECH
Presidente da Associação Nacional de Jornais (ANJ)
(Confirmado)

JOÃO CAMILO
Coordenador de Relações Governamentais e Comunicação da Associação Brasileira de Rádio e Televisão (Abratel), representando o presidente da entidade, Márcio Novaes
(Confirmado)

MONICA STEFFEN GUISE
Gerente de Políticas Públicas da Meta (antigo Facebook) no Brasil
(Confirmada)

MARCELO LACERDA
Diretor de Relações Governamentais do Google no Brasil, representando a gerente de Políticas Públicas e Relações Governamentais da empresa no País, Juliana Nolasco
(Confirmado)

MARINA PITA
Integrante da Coordenação Executiva do Coletivo Brasil de Comunicação Social (Intervozes)
(Confirmada)

LAILLA MALAQUIAS 
Coordenadora de Políticas Públicas do Twitter no Brasil
(Confirmada)

MARCELO BECHARA
Conselheiro da Associação Brasileira de Emissoras de Rádio e Televisão (Abert), representando o presidente da entidade, Flávio Lara Resende
(Confirmado)

ANDRÉ MARSIGLIA
Coordenador da Comissão Jurídica da Associação Nacional de Editores de Revistas (Aner), representando o presidente da entidade, Rafael Menin Soriano
(Confirmado)

LAURA MORAES
Coordenadora sênior de Campanhas de Advocacy na Avaaz Brasil
(Confirmada)

BETH COSTA
Secretária geral da Federação Nacional dos Jornalistas (Fenaj)
(Confirmada)

ANA PAULA BIALER
Líder do Grupo de Trabalho de Regulação e Internet da Associação das Empresas de Tecnologia da Informação e Comunicação (TIC) e de Tecnologias Digitais (Brasscom)
(Confirmada)

JOSÉ ANTONIO LIMA
Editor-assistente do Projeto Comprova
(Confirmado)

RAÚL ECHEBERRÍA
Diretor Executivo da Associação Latino-americana de Internet (Alai)
(Confirmado)

CRISTIANE CAMARGO
CEO do Interactive Advertising Bureau (IAB Brasil)
(Confirmada)

IGOR LUNA
Coordenador do Comitê Jurídico da Câmara Brasileira da Economia Digital (camara-e.net)
(Confirmado)

MARCO ANTONIO DA COSTA SABINO
Coordenador de pesquisa do Instituto Liberdade Digital
(Confirmado)";"Audiência Pública";"";"Anexo II, Plenário 14";"";"";""
