"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"2268563-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2268563-5";"2021-02-01";"2021-02-03T09:57:20";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60256";"https://dadosabertos.camara.leg.br/api/v2/eventos/60256";"1";"0";"0";"0";"PRESIDÊNCIA:
Deputado General Peternelli (PSL/SP): 1 voto;
Deputado Fábio Ramalho (MDB/MG): 21 votos;
Deputado André Janones (AVANTE/MG): 3 votos;
Deputado Arthur Lira (PP/AL): 302 votos;
Deputado Luiza Erundina (PSOL/SP): 16 votos;
Deputado Baleia Rossi (MDB/SP): 145 votos;
Deputado Marcel van Hattem (NOVO/RS): 13 votos;
Deputado Kim Kataguiri (DEM/SP): 2 votos;
Brancos: 2 votos;
Total de votantes: 505.
**Eleito e empossado Presidente da Câmara dos Deputados, para o biênio 2021/2023, o Sr. Deputado ARTHUR LIRA.";"";"";"2021-01-28T09:39:09";"Apresentação do Objeto de Deliberação n. 1/2021, pela Mesa Diretora da Câmara dos Deputados, que: ""Eleição da Mesa Diretora da Câmara dos Deputados para o biênio 2021/2023 da 56ª Legislatura"".";"0";""
"2268563-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2268563-7";"2021-02-03";"2021-02-03T12:59:54";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60263";"https://dadosabertos.camara.leg.br/api/v2/eventos/60263";"1";"0";"0";"0";"1ª VICE-PRESIDÊNCIA:
Deputado Marcelo Ramos (PL/AM): 396 votos;
Brancos: 55 votos;
Total de votantes: 451.
**Eleito e empossado 1º Vice-Presidente da Câmara dos Deputados, para o biênio 2021/2023, o Sr. Deputado MARCELO RAMOS.

2ª VICE-PRESIDÊNCIA:
Deputado André de Paula (PSD/PE): 270 votos;
Deputado Delegado Éder Mauro (PSD/PA): 43 votos;
Deputado Júlio Cesar (PSD/PI): 121 votos;
Brancos: 17 votos;
Total de votantes: 451.
** Eleito e empossado 2º Vice-Presidente da Câmara dos Deputados, para o biênio 2021/2023, o Sr. Deputado ANDRÉ DE PAULA.

1ª SECRETARIA:
Deputado Luciano Bivar (PSL/PE): 298 votos;
Deputado Léo Motta (PSL/MG): 118 votos;
Brancos: 35 votos;
Total de votantes: 451.
** Eleito e empossado 1º Secretário da Câmara dos Deputados, para o biênio 2021/2023, o Sr. Deputado LUCIANO BIVAR.

2ª SECRETARIA:
1º ESCRUTÍNIO
Deputado João Daniel (PT/SE): 166 votos;
Deputado Paulo Guedes (PT/MG): 54 votos;
Deputada Marília Arraes (PT/PE): 172 votos;
Brancos: 59 votos;
Total de votantes: 451.
** Foram para 2º escrutínio os Srs. Deputados João Daniel e Marília Arraes. 

2º ESCRUTÍNIO 
Deputada Marília Arraes (PT/PE): 192 votos;
Deputado João Daniel (PT/SE): 168 votos;
Brancos: 25 votos;
Total de votantes: 385.
** Eleita e empossada 2ª Secretária da Câmara dos Deputados, para o biênio 2021/2023, a Sr. Deputada MARÍLIA ARRAES.

3ª SECRETARIA:
Deputada Rose Modesto (PSDB/MS): 398 votos;
Brancos: 53 votos;
Total de votantes: 451.
**Eleita e empossada 3ª Secretária da Câmara dos Deputados, para o biênio 2021/2023, a Sra. Deputada ROSE MODESTO.

4ª SECRETARIA:
Deputada Rosângela Gomes (REPUBLICANOS/RJ): 418 votos;
Brancos: 33 votos;
Total de votantes: 451.
**Eleita e empossada 4ª Secretária da Câmara dos Deputados, para o biênio 2021/2023, a Sra. Deputada ROSÂNGELA GOMES.

SUPLENTES DE SECRETÁRIO:
Deputado Eduardo Bismarck (PDT/CE): 358 votos;
Deputado Alexandre Leite (DEM/SP): 313 votos;
Deputado Bibo Nunes (PSL/RS): 34 votos;
Deputado Gilberto Nascimento (PSC/SP): 354 votos;
Deputado Cássio Andrade (PSB/PA): 202 votos;
Deputado Marcelo Nilo (PSB/BA): 172;
Brancos: 371 votos.
**Eleitos e empossados 1º, 2º, 3º e 4º Suplentes de Secretário da Câmara dos Deputados, respectivamente, para o biênio 2021/2023, os Srs. Deputados Eduardo Bismarck, Gilberto Nascimento, Alexandre Leite e Cássio Andrade.";"";"";"2021-01-28T09:39:09";"Apresentação do Objeto de Deliberação n. 1/2021, pela Mesa Diretora da Câmara dos Deputados, que: ""Eleição da Mesa Diretora da Câmara dos Deputados para o biênio 2021/2023 da 56ª Legislatura"".";"0";""
"2269049-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2269049-8";"2021-02-09";"2021-02-09T16:03:11";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60268";"https://dadosabertos.camara.leg.br/api/v2/eventos/60268";"1";"418";"4";"1";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 418; não: 4; total: 422.";"";"";"";"";"0";""
"2269480-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2269480-8";"2021-02-09";"2021-02-09T16:32:45";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60268";"https://dadosabertos.camara.leg.br/api/v2/eventos/60268";"1";"416";"0";"2";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 416; abstenção: 1; total: 417.";"";"";"";"";"0";""
"2268644-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2268644-29";"2021-02-09";"2021-02-09T16:32:46";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 33/2021, por ter sido aprovado o REQ 78/2021 que está apensado ao primeiro.";"";"";"";"Apresentação do Requerimento n. 106/2021, pelo Deputado Léo Moraes (PODE/RO), que ""Requeiro, nos termos do inciso I, do art. 139 e no art. 142 do Regimento Interno, apensar a tramitação do PL nº 239 de 2021 ao PL nsº 33 e 25 de 2021, por tratarem de temas similares e de relevância com relação ao Programa Nacional de Imunização, em pauta nessa Casa.  "".";"2269717";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269717"
"2269481-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2269481-8";"2021-02-09";"2021-02-09T18:09:42";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60268";"https://dadosabertos.camara.leg.br/api/v2/eventos/60268";"1";"363";"109";"1";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 363; não: 109; total: 472.";"";"";"";"";"0";""
"2265124-34";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-34";"2021-02-09";"2021-02-09T19:06:06";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60268";"https://dadosabertos.camara.leg.br/api/v2/eventos/60268";"0";"101";"287";"2";"Rejeitado o Requerimento. Sim: 101; não: 287; abstenção: 1; total: 389.";"";"";"2021-02-09T18:30:27";"Parecer proferido em Plenário pelo Relator, Dep. Silvio Costa Filho (REPUBLIC-PE), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa deste, e do PLP 112/2019, apensado.";"2269847";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269847"
"2265124-39";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-39";"2021-02-09";"2021-02-09T19:24:45";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60268";"https://dadosabertos.camara.leg.br/api/v2/eventos/60268";"0";"93";"308";"1";"Rejeitado o Requerimento. Sim: 93; não: 308; total: 401.";"";"";"2021-02-09T18:30:27";"Parecer proferido em Plenário pelo Relator, Dep. Silvio Costa Filho (REPUBLIC-PE), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa deste, e do PLP 112/2019, apensado.";"2269847";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269847"
"2224067-94";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2224067-94";"2021-02-10";"2021-02-10T22:51:44";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. Otto Alencar Filho (PSD-BA).";"2021-02-10T22:51:08";"Votação da Redação Final.";"";"Apresentação da Declaração de Voto n. 13 MESA, pelo Deputado Gurgel (PSL/RJ).";"2269071";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269071"
"2265124-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-52";"2021-02-10";"2021-02-10T14:48:32";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60305";"https://dadosabertos.camara.leg.br/api/v2/eventos/60305";"0";"88";"291";"1";"Rejeitado o Requerimento. Sim: 88; não: 291; abstenção:1; total: 380.";"2021-02-10T14:31:39";"Votação em turno único.";"";"Apresentação da Declaração de Voto n. 1 MESA, pela Deputada Major Fabiana (PSL/RJ).";"2269864";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269864"
