"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"Oposição";"";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Liberado"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"Republican";"";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"Patriota";"https://dadosabertos.camara.leg.br/api/v2/partidos/37907";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Não"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"Minoria";"";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"Rede";"https://dadosabertos.camara.leg.br/api/v2/partidos/36886";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"Avante";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"Podemos";"";"Sim"
