"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204374";"https://dadosabertos.camara.leg.br/api/v2/deputados/204374";"Bia Kicis";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"DF";"56";"https://www.camara.leg.br/internet/deputado/bandep/204374.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204572";"https://dadosabertos.camara.leg.br/api/v2/deputados/204572";"Capitão Alberto Neto";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"AM";"56";"https://www.camara.leg.br/internet/deputado/bandep/204572.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204460";"https://dadosabertos.camara.leg.br/api/v2/deputados/204460";"Carlos Jordy";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"RJ";"56";"https://www.camara.leg.br/internet/deputado/bandep/204460.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204369";"https://dadosabertos.camara.leg.br/api/v2/deputados/204369";"Caroline de Toni";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"SC";"56";"https://www.camara.leg.br/internet/deputado/bandep/204369.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204462";"https://dadosabertos.camara.leg.br/api/v2/deputados/204462";"Chris Tonietto";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"RJ";"56";"https://www.camara.leg.br/internet/deputado/bandep/204462.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"141411";"https://dadosabertos.camara.leg.br/api/v2/deputados/141411";"Dagoberto Nogueira";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"MS";"56";"https://www.camara.leg.br/internet/deputado/bandep/141411.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"62881";"https://dadosabertos.camara.leg.br/api/v2/deputados/62881";"Danilo Forte";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"CE";"56";"https://www.camara.leg.br/internet/deputado/bandep/62881.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"116379";"https://dadosabertos.camara.leg.br/api/v2/deputados/116379";"Darci de Matos";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"SC";"56";"https://www.camara.leg.br/internet/deputado/bandep/116379.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204562";"https://dadosabertos.camara.leg.br/api/v2/deputados/204562";"Edilázio Júnior";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"MA";"56";"https://www.camara.leg.br/internet/deputado/bandep/204562.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"178977";"https://dadosabertos.camara.leg.br/api/v2/deputados/178977";"Eduardo Cury";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/178977.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204537";"https://dadosabertos.camara.leg.br/api/v2/deputados/204537";"Enrico Misasi";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204537.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"160575";"https://dadosabertos.camara.leg.br/api/v2/deputados/160575";"Erika Kokay";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"DF";"56";"https://www.camara.leg.br/internet/deputado/bandep/160575.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"204407";"https://dadosabertos.camara.leg.br/api/v2/deputados/204407";"Fernanda Melchionna";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"RS";"56";"https://www.camara.leg.br/internet/deputado/bandep/204407.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"204394";"https://dadosabertos.camara.leg.br/api/v2/deputados/204394";"Gervásio Maia";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"PB";"56";"https://www.camara.leg.br/internet/deputado/bandep/204394.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204365";"https://dadosabertos.camara.leg.br/api/v2/deputados/204365";"Gilson Marques";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"SC";"56";"https://www.camara.leg.br/internet/deputado/bandep/204365.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"160673";"https://dadosabertos.camara.leg.br/api/v2/deputados/160673";"Giovani Cherini";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RS";"56";"https://www.camara.leg.br/internet/deputado/bandep/160673.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"204468";"https://dadosabertos.camara.leg.br/api/v2/deputados/204468";"Joenia Wapichana";"REDE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36886";"RR";"56";"https://www.camara.leg.br/internet/deputado/bandep/204468.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204472";"https://dadosabertos.camara.leg.br/api/v2/deputados/204472";"José Medeiros";"PODE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36896";"MT";"56";"https://www.camara.leg.br/internet/deputado/bandep/204472.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204536";"https://dadosabertos.camara.leg.br/api/v2/deputados/204536";"Kim Kataguiri";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204536.jpg"
